$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
A16361,N189PA,Phoenix Air,Gulfstream II SP,GLF2,Civ,Hired Gun,Government Contractor,Dirty Business,Hired Gun
A16534,N1895T,Chevron USA,Gulfstream G650 ER,GLF6,Civ,Oil Spill,Man Made Climate Change,Climate Crisis,Climate Crisis
A16681,N19H,Hubbard Broadcasting Inc,Gulfstream G500,GLF5,Civ,Bizjet,Radio,Where All Minneapolis Dances,As Seen on TV
A16692,N19HS,Starbucks,Gulfstream G650 ER,GLF6,Civ,Kara Thrace,Coffee,Multinational,As Seen on TV
A16971,N190PA,Phoenix Air,Gulfstream III,GLF3,Civ,Hired Gun,Government Contractor,Dirty Business,Hired Gun
A169D5,N190TA,Tuck Aerial Surveys,Piper PA-31-310 Navajo Panther,PA31,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud
A16AAD,N1901G,Chevron USA,Gulfstream G650 ER,GLF6,Civ,Oil Spill,Man Made Climate Change,Climate Crisis,Climate Crisis
A16B47,N1905W,Whirlpool Corp,Gulfstream G550,GLF5,Civ,Domestic Applicances,Washer,White Goods,As Seen on TV
A16D84,N191ST,Kactus Capital Management,Dassault Falcon 7X,FA7X,Civ,Aaaaaaaand its gone,Bunch of Bankers,Scrooge McDuck,As Seen on TV
A16D8C,N191TA,Sanborn Map Company,Piper PA-31,PA31,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud
A16E42,N1910H,Hallmark Cards Inc.,Hawker 125 800XP,H25B,Civ,Hallmark Movies,Greeting Cards,Christmas in July,As Seen on TV
A16E72,N1911W,Whirlpool Corp,Gulfstream G550,GLF5,Civ,Bizjet,Appliances,Dishwashers,As Seen on TV
A16EE5,N19146,Private,Fairchild F-24 G,FA24,Civ,Highwing,I Am Old,History,Historic
A16F21,N1916W,Hatzolah Air,Gulfstream G550,GLF5,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors
A170DF,N192PA,Phoenix Air,Gulfstream 1,G159,Civ,Historic,Government Contractor,Dirty Business,Hired Gun
A171A2,N192WW,Win Aviation,Short SC.7 Skyvan,SC7,Civ,Para Ops Training,Military Contractor,Hired Gun,Perfectly Serviceable Aircraft
A17496,N193PA,Phoenix Air,Gulfstream 1,G159,Civ,Historic,Government Contractor,Dirty Business,Hired Gun
A174C8,N193RA,Metrea,B350 Super King Air,B350,Civ,Surveillance,Covert,Spyplane,Oxcart
A174FA,N193TA,Tuck Aerial Surveys,Cessna U206G Stationair II,C206,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud
A17559,N193WW,Win Aviation,Short SC.7 Skyvan,SC7,Civ,Para Ops Training,Military Contractor,Hired Gun,Perfectly Serviceable Aircraft
A1770A,N194AC,Erickson Air-Crane,S-64E Skycrane,S64,Civ,Skycrane,Thunderbird 2,Delilah,Big Hello
A1774A,N194CS,Northeast Montana State Air Ambulance,Pilatus PC-12 45,PC12,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors
A178A3,N194SM,Surveying And Mapping,Cessna 208B Caravan,C208,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud
A178AB,N194SV,LA Aviation,Piaggio P-180 Avanti,P180,Civ,Pusher Prop,Canards,How Does It Fly,Bizjets
A17907,N194WM,Bill Gates,Gulfstream G650,GLF6,Civ,Microsoft,Bill & Melinda Gates Foundation,Harvard Dropout,Don't you know who I am?
A17910,N194WW,Win Aviation,Short SC.7 Skyvan,SC7,Civ,Para Ops Training,Military Contractor,Hired Gun,Perfectly Serviceable Aircraft
A179D9,N1943S,Private,Stinson Reliant AT-19,RELI,Civ,Lend Lease,Radial Engine,Fixed Gear,Joe Cool
A179F0,N1944E,Choice Aviation LLC,Cessna 340 Super,C340,Civ,Flying Fire Extinguisher,Air Attack,Wildfire,Aerial Firefighter
A179FC,N1944S,Private,Boeing Stearman B75 Kaydet,ST75,Civ,Radial Engine,Biplane,Wing Walk,Historic
A17CC7,N195WW,Win Aviation,Short SC.7 Skyvan,SC7,Civ,Para Ops Training,Military Contractor,Hired Gun,Perfectly Serviceable Aircraft
A17DC2,N19547,Private,DHC-1 Chipmunk 22,DHC1,Civ,Air Experience Flight,Jump Johnny Jump,Air Training Corps,Jump Johnny Jump
A17DEC,N1956D,Private,DHC-1 Chipmunk 1B-2-S5,DHC1,Civ,Air Experience Flight,Jump Johnny Jump,Air Training Corps,Jump Johnny Jump
A17E7D,N196AH,Charlotte Mecklenburg Hospital Authority,Pilatus PC-24,PC24,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors
A17F4D,N196JR,Private,Pitts Special S-1T,PTS1,Civ,Biplane,Do A Barrel Roll,Aerobatics,Joe Cool
A17FBB,N196PA,Phoenix Air,Gulfstream III,GLF3,Civ,Hired Gun,Government Contractor,Dirty Business,Hired Gun
A1801F,N196TA,Helo N426HA LLC,Bell 407,B407,Civ,Flying Fire Extinguisher,Air Attack,Wildfire,Aerial Firefighter
A1807E,N196WW,Win Aviation,Short SC.7 Skyvan,SC7,Civ,Para Ops Training,Military Contractor,Hired Gun,Perfectly Serviceable Aircraft
A1811C,N1962J,Eagle Mountain Intl Church,Cessna Citation X,C56X,Civ,Kenneth Copeland,Church Of Private Jets,Send NO Money,Jesus he Knows me
A181CB,N1967J,Eagle Mountain Intl Church,Gulfstream G500,GLF5,Civ,Kenneth Copeland,Church Of Private Jets,Send NO Money,Jesus he Knows me
A181CE,N1967M,McDonalds Corp,Gulfstream G550,GLF5,Civ,Would You Like Fries With That?,Supersize Me,Bad Food,As Seen on TV
A1820B,N1969C,P. Diddy,Gulfstream G-V,GLF5,Civ,Bizjet,All About The Benjamins,Baller,Don't you know who I am?
A1822F,I-CFAI,Vigili del Fuoco,S-64F Skycrane,S64,Civ,Skycrane,Thunderbird 2,Heavy Lift,Big Hello
A18326,N197L,American Airpower Heritage Flying Museum,Beech D18S,BE18,Civ,Twin Beech,Twin Tail,Tricycle Landing Gear,Historic
A18331,N197LL,Accelero,Cirrus Jet Vision SF50,SF50,Civ,Safe Return,CAPS,Backpack Tadpole V-Jet,Joe Cool
