$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
4247DB,VP-CAO,Royal Cayman Islands Police Service,Eurocopter EC145,EC45,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
440027,OE-BXH,Austrian Police,Eurocopter AS350 Squirrel,AS50,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
4400E2,OE-BXT,Austrian Police,Bell 206B Jet Ranger,B06,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
440327,OE-BXG,Austrian Police,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
440328,OE-BXY,Austrian Police,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
440329,OE-BXZ,Austrian Police,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
44041D,OE-BXB,Austrian Police,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
44041E,OE-BXC,Austrian Police,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
4404AC,OE-BXQ,Austrian Police,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
4404AF,OE-BXR,Austrian Police,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
4404B2,OE-BXS,Austrian Police,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
4404B5,OE-BXN,Austrian Police,Eurocopter AS350 Squirrel,AS50,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
4404B6,OE-BXO,Austrian Police,Eurocopter AS350 Squirrel,AS50,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
44C1E1,G-01,Belgian Federal Police,Cessna 182 Skylane,C182,Pol,Utility,Light Lift,Single Engine,Utility
44C1E2,G-04,Belgian Federal Police,Cessna 182 Skylane,C182,Pol,Utility,Light Lift,Single Engine,Utility
44C1E3,G-14,Belgian Federal Police,MD 520N,MD52,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
44C1E4,G-15,Belgian Federal Police,MD 520N,MD52,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
44C1E5,G-10,Belgian Federal Police,MD 900 Explorer,EXPL,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
44C1E8,G-12,Belgian Federal Police,MD 900 Explorer,EXPL,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
44C1E9,G-16,Belgian Federal Police,MD 900 Explorer,EXPL,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
44C1EA,G-17,Belgian Federal Police,MD 900 Explorer,EXPL,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
46A202,SX-HPB,Bundespolizei,MBB Bo 105,B105,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
46A203,SX-HPC,Bundespolizei,MBB Bo 105,B105,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
46A204,SX-HPD,Bundespolizei,Eurocopter EC135 T1,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
46A205,SX-HPE,Bundespolizei,Eurocopter EC135 T1,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
477FC9,R-900,Hungarian Security Police,MD 900 Explorer,EXPL,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
477FCB,R-904,Hungarian Security Police,MD 900 Explorer,EXPL,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
477FCC,R-901,Hungarian Security Police,MD 900 Explorer,EXPL,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
477FCD,R-903,Hungarian Security Police,MD 900 Explorer,EXPL,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
477FCF,R-905,Hungarian Security Police,MD 900 Explorer,EXPL,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
477FD1,R-907,Hungarian Security Police,MD 900 Explorer,EXPL,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
477FD2,R-908,Hungarian Security Police,MD 900 Explorer,EXPL,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
477FD3,R-909,Hungarian Security Police,MD 900 Explorer,EXPL,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
477FD4,R-910,Hungarian Security Police,MD 900 Explorer,EXPL,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
478058,LN-ORC,Oslo Police District,AgustaWestland AW.169,A169,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
479B34,LN-ORB,Norwegian Police,AgustaWestland AW.169,A169,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
479C1E,LN-ORA,Norwegian Police,AgustaWestland AW.169,A169,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
484A91,PH-PXA,KLPD Police Aviation,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
484A92,PH-PXB,KLPD Police Aviation,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
484A93,PH-PXC,KLPD Police Aviation,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
484A94,PH-PXD,KLPD Police Aviation,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
484A95,PH-PXE,KLPD Police Aviation,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
484A96,PH-PXF,KLPD Police Aviation,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
484AC0,PH-PXZ,KLPD Police Aviation,AgustaWestland AW.139,A139,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Transport
484AC1,PH-PXY,KLPD Police Aviation,AgustaWestland AW.139,A139,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Transport
4850CA,P4-POL,Aruba Police,Bell 206L Long Ranger,B06,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
485B2F,PH-PXX,KLPD Police Aviation,AgustaWestland AW.139,A139,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Transport
498B21,OK-BYA,Czech Police,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
498B23,OK-BYC,Czech Police,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
498B24,OK-BYD,Czech Police,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
498B25,OK-BYE,Czech Police,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
498B26,OK-BYF,Czech Police,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
498B27,OK-BYG,Czech Police,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
498B28,OK-BYH,Czech Police,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
498B29,OK-BYI,Czech Police,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
498B2E,OK-BYN,Czech Police,Bell 412,B412,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Transport
498B30,OK-BYP,Czech Police,Bell 412,B412,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Transport
498B31,OK-BYQ,Czech Police,Bell 412,B412,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Transport
498B32,OK-BYR,Czech Police,Bell 412,B412,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Transport
498B33,OK-BYS,Czech Police,Bell 412,B412,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Transport
498B34,OK-BYT,Czech Police,Bell 412,B412,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Transport
4A3602,108,Romanian Police,Aerospatiale Puma SA330 HC2,PUMA,Pol,Tactical Transport,Medium Lift,Rotorcraft,Helicopter - Transport
4A3614,290,Romanian Police,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
